name            np  type       states  clock    max       mem
dup             2   plain      109     1.82     445.80    474.09
dup             2   KSM        109     1.97     448.15    396.55
dup             2   page       109     1.80     314.67    335.31
dup             2   page+soft  109     1.96     314.52    336.32
dup             3   plain      453     3.72     770.03    793.09
dup             3   KSM        453     4.42     741.89    484.95
dup             3   page       453     3.89     332.80    352.23
dup             3   page+soft  453     4.25     333.18    352.04
dup             4   plain      2751    56.21    3239.18   3249.12
dup             4   KSM        2751    60.71    3070.91   1068.41
dup             4   page       2751    64.23    655.15    654.38
dup             4   page+soft  2751    65.92    658.56    656.88
groupcreate     2   plain      13      1.43     327.20    329.52
groupcreate     2   KSM        13      1.46     327.62    328.63
groupcreate     2   page       13      1.43     314.14    310.06
groupcreate     2   page+soft  13      1.45     314.04    311.68
groupcreate     3   plain      85      1.81     402.02    408.04
groupcreate     3   KSM        85      1.96     403.40    351.82
groupcreate     3   page       85      1.87     314.07    317.66
groupcreate     3   page+soft  85      1.96     314.07    317.77
groupcreate     4   plain      1360    47.46    1983.48   1987.39
groupcreate     4   KSM        1360    49.31    1899.27   495.59
groupcreate     4   page       1360    53.32    449.58    451.26
groupcreate     4   page+soft  1360    54.72    451.14    450.53
sendrecv2       2   plain      1990    15.94    3290.00   3295.64
sendrecv2       2   KSM        1990    19.01    3093.88   1245.95
sendrecv2       2   page       1990    17.31    507.29    509.09
sendrecv2       2   page+soft  1990    18.50    509.75    510.63
op_commutative  3   plain      86      1.86     404.49    408.15
op_commutative  3   KSM        86      1.97     405.97    350.70
op_commutative  3   page       86      1.87     314.72    317.37
op_commutative  3   page+soft  86      1.91     314.56    316.80
op_commutative  4   plain      1422    49.47    2285.04   2289.50
op_commutative  4   KSM        1422    51.01    1983.49   500.66
op_commutative  4   page       1422    54.79    454.09    452.76
op_commutative  4   page+soft  1422    56.35    455.67    454.04
op_commutative  5   plain      11471   2184.03  13874.50  13898.13
op_commutative  5   KSM        11471   2176.23  13090.33  2006.66
op_commutative  5   page       11471   2482.88  1823.95   1824.65
op_commutative  5   page+soft  11471   2514.31  1838.00   1839.66
