name            np  type       states  clock   max      mem
dup             2   plain      117     1.77    254.00   278.77
dup             2   KSM        117     1.80    253.89   155.75
dup             2   page       117     1.83    116.40   129.73
dup             2   page+soft  117     1.68    116.35   129.18
dup             3   plain      764     10.82   854.40   874.09
dup             3   KSM        764     11.47   855.38   199.03
dup             3   page       764     11.08   130.05   149.48
dup             3   page+soft  764     10.44   130.31   145.20
dup             4   plain      4117    70.83   3410.55  3427.15
dup             4   KSM        4117    75.37   3412.69  462.72
dup             4   page       4117    73.24   262.04   272.71
dup             4   page+soft  4117    69.61   261.93   272.71
groupcreate     2   plain      13      0.81    125.00   138.23
groupcreate     2   KSM        13      0.80    125.68   137.57
groupcreate     2   page       13      0.80    116.36   121.56
groupcreate     2   page+soft  13      0.79    116.30   121.55
groupcreate     3   plain      111     1.95    233.83   251.38
groupcreate     3   KSM        111     2.03    233.98   141.84
groupcreate     3   page       111     1.98    116.28   123.98
groupcreate     3   page+soft  111     1.89    116.43   123.37
groupcreate     4   plain      1122    18.22   1032.96  1049.35
groupcreate     4   KSM        1122    19.55   1034.56  227.52
groupcreate     4   page       1122    18.76   139.40   153.88
groupcreate     4   page+soft  1122    17.84   139.46   150.30
sendrecv2       2   plain      357     3.70    572.99   587.48
sendrecv2       2   KSM        357     3.94    573.77   201.78
sendrecv2       2   page       357     3.73    116.26   130.88
sendrecv2       2   page+soft  357     3.46    116.40   129.54
op_commutative  3   plain      112     1.96    236.14   253.91
op_commutative  3   KSM        112     2.04    236.11   140.17
op_commutative  3   page       112     1.99    116.33   124.16
op_commutative  3   page+soft  112     1.90    116.35   123.67
op_commutative  4   plain      1239    21.43   1158.04  1170.32
op_commutative  4   KSM        1239    22.63   1159.80  252.58
op_commutative  4   page       1239    22.03   144.21   158.47
op_commutative  4   page+soft  1239    21.02   144.09   154.51
op_commutative  5   plain      7309    137.67  5414.60  5434.70
op_commutative  5   KSM        7309    146.77  5419.93  621.50
op_commutative  5   page       7309    142.31  387.36   398.13
op_commutative  5   page+soft  7309    136.25  387.38   398.57
